0<= x < 30; y_0 = 50.0 + 0.6x; interpolation 
9180<= x < 9210; y_306 = 6479.0 + -0.7x; interpolation 
9210<= x < 9240; y_307 = 1874.0 + -0.2x; interpolation 
9240<= x < 9270; y_308 = -9522.000000000002 + 1.0333333333333334x; interpolation 
9270<= x < 9300; y_309 = -4269.0 + 0.4666666666666667x; interpolation 
9300<= x < 9330; y_310 = 4101.0 + -0.43333333333333335x; interpolation 
9330<= x < 9360; y_311 = -2119.0 + 0.23333333333333334x; interpolation 
9360<= x < 9390; y_312 = 1937.0 + -0.2x; interpolation 
9390<= x < 9420; y_313 = -4323.0 + 0.4666666666666667x; interpolation 
9420<= x < 9450; y_314 = 1957.0 + -0.2x; interpolation 
9450<= x < 9480; y_315 = -1823.0 + 0.2x; interpolation 
9480<= x < 9510; y_316 = 2917.0 + -0.3x; interpolation 
9510<= x < 9540; y_317 = 2917.0 + -0.3x; interpolation 
9540<= x < 9570; y_318 = -1853.0 + 0.2x; interpolation 
9570<= x < 9600; y_319 = -3129.0 + 0.3333333333333333x; interpolation 
9600<= x < 9630; y_320 = 1671.0 + -0.16666666666666666x; interpolation 
9630<= x < 9660; y_321 = -2502.0 + 0.26666666666666666x; interpolation 
9660<= x < 9690; y_322 = 3615.9999999999995 + -0.36666666666666664x; interpolation 
9690<= x < 9720; y_323 = 2647.0 + -0.26666666666666666x; interpolation 
9720<= x < 9750; y_324 = -5453.0 + 0.5666666666666667x; interpolation 
9750<= x < 9780; y_325 = 5597.0 + -0.5666666666666667x; interpolation 
9780<= x < 9810; y_326 = -5813.0 + 0.6x; interpolation 
9810<= x < 9840; y_327 = 400.0 + -0.03333333333333333x; interpolation 
9840<= x < 9870; y_328 = 3024.0 + -0.3x; interpolation 
9870<= x < 9900; y_329 = -2569.0 + 0.26666666666666666x; interpolation 
9900<= x < 9930; y_330 = 731.0 + -0.06666666666666667x; interpolation 
9930<= x < 9960; y_331 = -262.0 + 0.03333333333333333x; interpolation 
9960<= x < 9990; y_332 = -1258.0 + 0.13333333333333333x; interpolation 
9990<= x < 10020; y_333 = 407.0 + -0.03333333333333333x; interpolation 
10020<= x < 10050; y_334 = 6085.0 + -0.6x; interpolation 
10050<= x < 10080; y_335 = -6310.0 + 0.6333333333333333x; interpolation 
10080<= x < 10110; y_336 = 6458.0 + -0.6333333333333333x; interpolation 
10110<= x < 10140; y_337 = -282.0 + 0.03333333333333333x; interpolation 
10140<= x < 10170; y_338 = -620.0 + 0.06666666666666667x; interpolation 
10170<= x < 10200; y_339 = 1075.0 + -0.1x; interpolation 
10200<= x < 10230; y_340 = -6065.0 + 0.6x; interpolation 
10230<= x < 10260; y_341 = 5870.0 + -0.5666666666666667x; interpolation 
10260<= x < 10290; y_342 = -5416.0 + 0.5333333333333333x; interpolation 
10290<= x < 10320; y_343 = 415.0 + -0.03333333333333333x; interpolation 
10320<= x < 10350; y_344 = 415.0 + -0.03333333333333333x; interpolation 
